Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,state_code,Prof_Cat
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.91,KY,Profit
Second Class,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.58,KY,Profit
Second Class,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.87,CA,Profit
Standard Class,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.58,5,0.45,-383.03,FL,Loss
Standard Class,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.37,2,0.2,2.52,FL,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.17,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.97,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,907.15,6,0.2,90.72,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.5,3,0.2,5.78,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Furniture,Tables,1706.18,9,0.2,85.31,CA,Profit
Standard Class,Consumer,Los Angeles,California,West,Technology,Phones,911.42,4,0.2,68.36,CA,Profit
Standard Class,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.55,3,0.2,5.44,NC,Profit
Standard Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.98,3,0.2,132.59,WA,Profit
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.86,TX,Loss
Standard Class,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.54,3,0.8,-3.82,TX,Loss
Standard Class,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.32,WI,Profit
Second Class,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,UT,Profit
Second Class,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.48,CA,Profit
Second Class,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.01,CA,Profit
Second Class,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.38,CA,Profit
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0.0,5.06,NE,Profit
Standard Class,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0.0,15.69,NE,Profit
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.37,2,0.3,-1.02,PA,Loss
Standard Class,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0.0,240.26,UT,Profit
Second Class,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.65,2,0.2,4.22,CA,Profit
Second Class,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.77,CA,Profit
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.05,PA,Loss
